,Solar,Wind Onshore
2020-01-17 00:00:00+01:00,0.0,156.0
2020-01-17 00:15:00+01:00,0.0,168.0
2020-01-17 00:30:00+01:00,0.0,176.0
2020-01-17 00:45:00+01:00,0.0,188.0
2020-01-17 01:00:00+01:00,0.0,200.0
2020-01-17 01:15:00+01:00,0.0,216.0
2020-01-17 01:30:00+01:00,0.0,232.0
2020-01-17 01:45:00+01:00,0.0,248.0
2020-01-17 02:00:00+01:00,0.0,264.0
2020-01-17 02:15:00+01:00,0.0,280.0
2020-01-17 02:30:00+01:00,0.0,296.0
2020-01-17 02:45:00+01:00,0.0,312.0
2020-01-17 03:00:00+01:00,0.0,324.0
2020-01-17 03:15:00+01:00,0.0,336.0
2020-01-17 03:30:00+01:00,0.0,348.0
2020-01-17 03:45:00+01:00,0.0,364.0
2020-01-17 04:00:00+01:00,0.0,376.0
2020-01-17 04:15:00+01:00,0.0,388.0
2020-01-17 04:30:00+01:00,0.0,400.0
2020-01-17 04:45:00+01:00,0.0,412.0
2020-01-17 05:00:00+01:00,0.0,420.0
2020-01-17 05:15:00+01:00,0.0,432.0
2020-01-17 05:30:00+01:00,0.0,444.0
2020-01-17 05:45:00+01:00,0.0,456.0
2020-01-17 06:00:00+01:00,0.0,468.0
2020-01-17 06:15:00+01:00,0.0,480.0
2020-01-17 06:30:00+01:00,0.0,492.0
2020-01-17 06:45:00+01:00,0.0,504.0
2020-01-17 07:00:00+01:00,0.0,520.0
2020-01-17 07:15:00+01:00,0.0,540.0
2020-01-17 07:30:00+01:00,4.0,560.0
2020-01-17 07:45:00+01:00,4.0,580.0
2020-01-17 08:00:00+01:00,8.0,600.0
2020-01-17 08:15:00+01:00,16.0,616.0
2020-01-17 08:30:00+01:00,24.0,636.0
2020-01-17 08:45:00+01:00,32.0,656.0
2020-01-17 09:00:00+01:00,48.0,676.0
2020-01-17 09:15:00+01:00,60.0,696.0
2020-01-17 09:30:00+01:00,76.0,716.0
2020-01-17 09:45:00+01:00,92.0,736.0
2020-01-17 10:00:00+01:00,112.0,768.0
2020-01-17 10:15:00+01:00,132.0,812.0
2020-01-17 10:30:00+01:00,148.0,856.0
2020-01-17 10:45:00+01:00,168.0,896.0
2020-01-17 11:00:00+01:00,184.0,940.0
2020-01-17 11:15:00+01:00,200.0,984.0
2020-01-17 11:30:00+01:00,216.0,1028.0
2020-01-17 11:45:00+01:00,228.0,1072.0
2020-01-17 12:00:00+01:00,236.0,1116.0
2020-01-17 12:15:00+01:00,240.0,1160.0
2020-01-17 12:30:00+01:00,244.0,1204.0
2020-01-17 12:45:00+01:00,248.0,1248.0
2020-01-17 13:00:00+01:00,240.0,1280.0
2020-01-17 13:15:00+01:00,228.0,1300.0
2020-01-17 13:30:00+01:00,220.0,1320.0
2020-01-17 13:45:00+01:00,208.0,1340.0
2020-01-17 14:00:00+01:00,192.0,1344.0
2020-01-17 14:15:00+01:00,172.0,1336.0
2020-01-17 14:30:00+01:00,152.0,1324.0
2020-01-17 14:45:00+01:00,132.0,1316.0
2020-01-17 15:00:00+01:00,112.0,1304.0
2020-01-17 15:15:00+01:00,92.0,1292.0
2020-01-17 15:30:00+01:00,68.0,1284.0
2020-01-17 15:45:00+01:00,48.0,1272.0
2020-01-17 16:00:00+01:00,36.0,1276.0
2020-01-17 16:15:00+01:00,28.0,1288.0
2020-01-17 16:30:00+01:00,16.0,1304.0
2020-01-17 16:45:00+01:00,4.0,1320.0
2020-01-17 17:00:00+01:00,4.0,1336.0
2020-01-17 17:15:00+01:00,4.0,1352.0
2020-01-17 17:30:00+01:00,0.0,1368.0
2020-01-17 17:45:00+01:00,0.0,1384.0
2020-01-17 18:00:00+01:00,0.0,1396.0
2020-01-17 18:15:00+01:00,0.0,1404.0
2020-01-17 18:30:00+01:00,0.0,1408.0
2020-01-17 18:45:00+01:00,0.0,1416.0
2020-01-17 19:00:00+01:00,0.0,1420.0
2020-01-17 19:15:00+01:00,0.0,1416.0
2020-01-17 19:30:00+01:00,0.0,1408.0
2020-01-17 19:45:00+01:00,0.0,1404.0
2020-01-17 20:00:00+01:00,0.0,1396.0
2020-01-17 20:15:00+01:00,0.0,1384.0
2020-01-17 20:30:00+01:00,0.0,1368.0
2020-01-17 20:45:00+01:00,0.0,1356.0
2020-01-17 21:00:00+01:00,0.0,1336.0
2020-01-17 21:15:00+01:00,0.0,1316.0
2020-01-17 21:30:00+01:00,0.0,1292.0
2020-01-17 21:45:00+01:00,0.0,1272.0
2020-01-17 22:00:00+01:00,0.0,1244.0
2020-01-17 22:15:00+01:00,0.0,1208.0
2020-01-17 22:30:00+01:00,0.0,1176.0
2020-01-17 22:45:00+01:00,0.0,1144.0
2020-01-17 23:00:00+01:00,0.0,1112.0
2020-01-17 23:15:00+01:00,0.0,1080.0
2020-01-17 23:30:00+01:00,0.0,1048.0
2020-01-17 23:45:00+01:00,0.0,1016.0
