,Solar,Wind Offshore,Wind Onshore
2020-01-17 00:00:00+01:00,0.0,1511.0,1175.0
2020-01-17 01:00:00+01:00,0.0,1495.0,1116.0
2020-01-17 02:00:00+01:00,0.0,1429.0,1056.0
2020-01-17 03:00:00+01:00,0.0,1378.0,1013.0
2020-01-17 04:00:00+01:00,0.0,1351.0,985.0
2020-01-17 05:00:00+01:00,0.0,1387.0,975.0
2020-01-17 06:00:00+01:00,0.0,1423.0,975.0
2020-01-17 07:00:00+01:00,0.0,1363.0,961.0
2020-01-17 08:00:00+01:00,2.0,1062.0,915.0
2020-01-17 09:00:00+01:00,40.0,770.0,853.0
2020-01-17 10:00:00+01:00,109.0,1083.0,784.0
2020-01-17 11:00:00+01:00,161.0,1354.0,707.0
2020-01-17 12:00:00+01:00,207.0,1294.0,639.0
2020-01-17 13:00:00+01:00,237.0,1136.0,574.0
2020-01-17 14:00:00+01:00,223.0,1051.0,512.0
2020-01-17 15:00:00+01:00,147.0,1301.0,471.0
2020-01-17 16:00:00+01:00,42.0,1097.0,455.0
2020-01-17 17:00:00+01:00,0.0,1294.0,473.0
2020-01-17 18:00:00+01:00,0.0,1099.0,522.0
2020-01-17 19:00:00+01:00,0.0,1044.0,587.0
2020-01-17 20:00:00+01:00,0.0,969.0,664.0
2020-01-17 21:00:00+01:00,0.0,1170.0,741.0
2020-01-17 22:00:00+01:00,0.0,1161.0,798.0
2020-01-17 23:00:00+01:00,0.0,1143.0,834.0
