,Solar,Wind Onshore
2020-01-17 01:00:00+02:00,0.0,277.0
2020-01-17 02:00:00+02:00,0.0,310.0
2020-01-17 03:00:00+02:00,0.0,325.0
2020-01-17 04:00:00+02:00,0.0,325.0
2020-01-17 05:00:00+02:00,0.0,331.0
2020-01-17 06:00:00+02:00,0.0,319.0
2020-01-17 07:00:00+02:00,0.0,299.0
2020-01-17 08:00:00+02:00,38.0,292.0
2020-01-17 09:00:00+02:00,125.0,335.0
2020-01-17 10:00:00+02:00,208.0,315.0
2020-01-17 11:00:00+02:00,272.0,331.0
2020-01-17 12:00:00+02:00,310.0,340.0
2020-01-17 13:00:00+02:00,281.0,297.0
2020-01-17 14:00:00+02:00,212.0,268.0
2020-01-17 15:00:00+02:00,123.0,270.0
2020-01-17 16:00:00+02:00,29.0,287.0
2020-01-17 17:00:00+02:00,0.0,270.0
2020-01-17 18:00:00+02:00,0.0,266.0
2020-01-17 19:00:00+02:00,0.0,257.0
2020-01-17 20:00:00+02:00,0.0,239.0
2020-01-17 21:00:00+02:00,0.0,229.0
2020-01-17 22:00:00+02:00,0.0,223.0
2020-01-17 23:00:00+02:00,0.0,211.0
2020-01-18 00:00:00+02:00,0.0,234.0
2020-01-18 01:00:00+02:00,0.0,259.0
