,Solar,Wind Offshore,Wind Onshore
2020-01-17 00:00:00+01:00,0.0,5802.0,20154.0
2020-01-17 00:15:00+01:00,0.0,5823.0,20125.0
2020-01-17 00:30:00+01:00,0.0,5837.0,20104.0
2020-01-17 00:45:00+01:00,0.0,5863.0,20073.0
2020-01-17 01:00:00+01:00,0.0,5888.0,20060.0
2020-01-17 01:15:00+01:00,0.0,5898.0,20013.0
2020-01-17 01:30:00+01:00,0.0,5911.0,19960.0
2020-01-17 01:45:00+01:00,0.0,5920.0,19912.0
2020-01-17 02:00:00+01:00,0.0,5923.0,19882.0
2020-01-17 02:15:00+01:00,0.0,5931.0,19797.0
2020-01-17 02:30:00+01:00,0.0,5943.0,19706.0
2020-01-17 02:45:00+01:00,0.0,5951.0,19622.0
2020-01-17 03:00:00+01:00,0.0,5955.0,19526.0
2020-01-17 03:15:00+01:00,0.0,5954.0,19402.0
2020-01-17 03:30:00+01:00,0.0,5950.0,19278.0
2020-01-17 03:45:00+01:00,0.0,5947.0,19150.0
2020-01-17 04:00:00+01:00,0.0,5939.0,19020.0
2020-01-17 04:15:00+01:00,0.0,5934.0,18931.0
2020-01-17 04:30:00+01:00,0.0,5927.0,18841.0
2020-01-17 04:45:00+01:00,0.0,5924.0,18748.0
2020-01-17 05:00:00+01:00,0.0,5913.0,18692.0
2020-01-17 05:15:00+01:00,0.0,5899.0,18687.0
2020-01-17 05:30:00+01:00,0.0,5881.0,18684.0
2020-01-17 05:45:00+01:00,0.0,5869.0,18675.0
2020-01-17 06:00:00+01:00,0.0,5712.0,18884.0
2020-01-17 06:15:00+01:00,0.0,5697.0,18905.0
2020-01-17 06:30:00+01:00,0.0,5682.0,18924.0
2020-01-17 06:45:00+01:00,0.0,5667.0,18944.0
2020-01-17 07:00:00+01:00,0.0,5655.0,18950.0
2020-01-17 07:15:00+01:00,0.0,5655.0,18957.0
2020-01-17 07:30:00+01:00,0.0,5651.0,18965.0
2020-01-17 07:45:00+01:00,0.0,5652.0,18965.0
2020-01-17 08:00:00+01:00,22.0,5652.0,18700.0
2020-01-17 08:15:00+01:00,109.0,5658.0,18679.0
2020-01-17 08:30:00+01:00,538.0,5661.0,18663.0
2020-01-17 08:45:00+01:00,1036.0,5663.0,18643.0
2020-01-17 09:00:00+01:00,1833.0,5670.0,18777.0
2020-01-17 09:15:00+01:00,2846.0,5681.0,18587.0
2020-01-17 09:30:00+01:00,3935.0,5696.0,18383.0
2020-01-17 09:45:00+01:00,5161.0,5703.0,18146.0
2020-01-17 10:00:00+01:00,6274.0,5708.0,17846.0
2020-01-17 10:15:00+01:00,7393.0,5703.0,17253.0
2020-01-17 10:30:00+01:00,8313.0,5697.0,16663.0
2020-01-17 10:45:00+01:00,9245.0,5688.0,16091.0
2020-01-17 11:00:00+01:00,9953.0,5682.0,15522.0
2020-01-17 11:15:00+01:00,10560.0,5666.0,14983.0
2020-01-17 11:30:00+01:00,11018.0,5653.0,14435.0
2020-01-17 11:45:00+01:00,11420.0,5635.0,13915.0
2020-01-17 12:00:00+01:00,11593.0,5603.0,13408.0
2020-01-17 12:15:00+01:00,11610.0,5558.0,12989.0
2020-01-17 12:30:00+01:00,11490.0,5495.0,12605.0
2020-01-17 12:45:00+01:00,11284.0,5452.0,12212.0
2020-01-17 13:00:00+01:00,10928.0,5396.0,11853.0
2020-01-17 13:15:00+01:00,10487.0,5347.0,11690.0
2020-01-17 13:30:00+01:00,9891.0,5264.0,11581.0
2020-01-17 13:45:00+01:00,9246.0,5179.0,11484.0
2020-01-17 14:00:00+01:00,8458.0,5085.0,11327.0
2020-01-17 14:15:00+01:00,7549.0,4971.0,11283.0
2020-01-17 14:30:00+01:00,6623.0,4850.0,11227.0
2020-01-17 14:45:00+01:00,5689.0,4692.0,11163.0
2020-01-17 15:00:00+01:00,4671.0,4573.0,11160.0
2020-01-17 15:15:00+01:00,3681.0,4482.0,11238.0
2020-01-17 15:30:00+01:00,2762.0,4390.0,11318.0
2020-01-17 15:45:00+01:00,1920.0,4297.0,11420.0
2020-01-17 16:00:00+01:00,1173.0,4192.0,11553.0
2020-01-17 16:15:00+01:00,602.0,4088.0,11713.0
2020-01-17 16:30:00+01:00,181.0,3966.0,11856.0
2020-01-17 16:45:00+01:00,12.0,3861.0,12001.0
2020-01-17 17:00:00+01:00,0.0,3755.0,12146.0
2020-01-17 17:15:00+01:00,0.0,3637.0,12251.0
2020-01-17 17:30:00+01:00,0.0,3483.0,12340.0
2020-01-17 17:45:00+01:00,0.0,3367.0,12426.0
2020-01-17 18:00:00+01:00,0.0,3259.0,12530.0
2020-01-17 18:15:00+01:00,0.0,3159.0,12632.0
2020-01-17 18:30:00+01:00,0.0,3056.0,12732.0
2020-01-17 18:45:00+01:00,0.0,2953.0,12837.0
2020-01-17 19:00:00+01:00,0.0,2850.0,12941.0
2020-01-17 19:15:00+01:00,0.0,2731.0,13003.0
2020-01-17 19:30:00+01:00,0.0,2653.0,13079.0
2020-01-17 19:45:00+01:00,0.0,2569.0,13156.0
2020-01-17 20:00:00+01:00,0.0,2506.0,13282.0
2020-01-17 20:15:00+01:00,0.0,2464.0,13363.0
2020-01-17 20:30:00+01:00,0.0,2418.0,13450.0
2020-01-17 20:45:00+01:00,0.0,2376.0,13542.0
2020-01-17 21:00:00+01:00,0.0,2328.0,13645.0
2020-01-17 21:15:00+01:00,0.0,2275.0,13788.0
2020-01-17 21:30:00+01:00,0.0,2213.0,13939.0
2020-01-17 21:45:00+01:00,0.0,2157.0,14082.0
2020-01-17 22:00:00+01:00,0.0,2095.0,14205.0
2020-01-17 22:15:00+01:00,0.0,2059.0,14348.0
2020-01-17 22:30:00+01:00,0.0,2022.0,14489.0
2020-01-17 22:45:00+01:00,0.0,1981.0,14628.0
2020-01-17 23:00:00+01:00,0.0,1948.0,14779.0
2020-01-17 23:15:00+01:00,0.0,1911.0,14942.0
2020-01-17 23:30:00+01:00,0.0,1872.0,15109.0
2020-01-17 23:45:00+01:00,0.0,1837.0,15272.0
