,Solar,Wind Offshore,Wind Onshore
2020-01-17 00:00:00+01:00,0.0,1251.0,1941.0
2020-01-17 01:00:00+01:00,0.0,1224.0,1914.0
2020-01-17 02:00:00+01:00,0.0,1085.0,1648.0
2020-01-17 03:00:00+01:00,0.0,1134.0,1647.0
2020-01-17 04:00:00+01:00,0.0,1145.0,1610.0
2020-01-17 05:00:00+01:00,0.0,1098.0,1592.0
2020-01-17 06:00:00+01:00,0.0,1200.0,1586.0
2020-01-17 07:00:00+01:00,0.0,1355.0,1751.0
2020-01-17 08:00:00+01:00,2.0,1359.0,1760.0
2020-01-17 09:00:00+01:00,40.0,1359.0,2004.0
2020-01-17 10:00:00+01:00,110.0,1343.0,1846.0
2020-01-17 11:00:00+01:00,168.0,1312.0,1721.0
2020-01-17 12:00:00+01:00,179.0,1252.0,1578.0
2020-01-17 13:00:00+01:00,138.0,1168.0,1468.0
2020-01-17 14:00:00+01:00,79.0,1072.0,1381.0
2020-01-17 15:00:00+01:00,28.0,988.0,1307.0
2020-01-17 16:00:00+01:00,1.0,928.0,1269.0
2020-01-17 17:00:00+01:00,0.0,892.0,1209.0
2020-01-17 18:00:00+01:00,0.0,866.0,1069.0
2020-01-17 19:00:00+01:00,0.0,839.0,935.0
2020-01-17 20:00:00+01:00,0.0,805.0,836.0
2020-01-17 21:00:00+01:00,0.0,776.0,784.0
2020-01-17 22:00:00+01:00,0.0,736.0,817.0
2020-01-17 23:00:00+01:00,0.0,692.0,918.0
