,Wind Onshore
2020-01-17 01:00:00+02:00,135.0
2020-01-17 02:00:00+02:00,128.0
2020-01-17 03:00:00+02:00,125.0
2020-01-17 04:00:00+02:00,121.0
2020-01-17 05:00:00+02:00,121.0
2020-01-17 06:00:00+02:00,116.0
2020-01-17 07:00:00+02:00,113.0
2020-01-17 08:00:00+02:00,117.0
2020-01-17 09:00:00+02:00,121.0
2020-01-17 10:00:00+02:00,131.0
2020-01-17 11:00:00+02:00,139.0
2020-01-17 12:00:00+02:00,140.0
2020-01-17 13:00:00+02:00,138.0
2020-01-17 14:00:00+02:00,140.0
2020-01-17 15:00:00+02:00,143.0
2020-01-17 16:00:00+02:00,150.0
2020-01-17 17:00:00+02:00,156.0
2020-01-17 18:00:00+02:00,162.0
2020-01-17 19:00:00+02:00,165.0
2020-01-17 20:00:00+02:00,167.0
2020-01-17 21:00:00+02:00,167.0
2020-01-17 22:00:00+02:00,165.0
2020-01-17 23:00:00+02:00,161.0
2020-01-18 00:00:00+02:00,126.0
2020-01-18 01:00:00+02:00,14.0
