,Solar,Wind Onshore
2020-01-17 00:00:00+01:00,16.0,10478.0
2020-01-17 01:00:00+01:00,7.0,10274.0
2020-01-17 02:00:00+01:00,8.0,10042.0
2020-01-17 03:00:00+01:00,6.0,9841.0
2020-01-17 04:00:00+01:00,6.0,9725.0
2020-01-17 05:00:00+01:00,4.0,9630.0
2020-01-17 06:00:00+01:00,4.0,9586.0
2020-01-17 07:00:00+01:00,4.0,9333.0
2020-01-17 08:00:00+01:00,60.0,9056.0
2020-01-17 09:00:00+01:00,799.0,8808.0
2020-01-17 10:00:00+01:00,2098.0,9001.0
2020-01-17 11:00:00+01:00,3139.0,9285.0
2020-01-17 12:00:00+01:00,3800.0,9626.0
2020-01-17 13:00:00+01:00,4249.0,9226.0
2020-01-17 14:00:00+01:00,4077.0,8687.0
2020-01-17 15:00:00+01:00,3674.0,8238.0
2020-01-17 16:00:00+01:00,2760.0,7197.0
2020-01-17 17:00:00+01:00,1180.0,6207.0
2020-01-17 18:00:00+01:00,211.0,5301.0
2020-01-17 19:00:00+01:00,22.0,4872.0
2020-01-17 20:00:00+01:00,16.0,4486.0
2020-01-17 21:00:00+01:00,14.0,4140.0
2020-01-17 22:00:00+01:00,9.0,3721.0
2020-01-17 23:00:00+01:00,14.0,3385.0
