,Solar,Wind Onshore
2020-01-17 01:00:00+02:00,0.0,1168.0
2020-01-17 02:00:00+02:00,0.0,1187.0
2020-01-17 03:00:00+02:00,0.0,1190.0
2020-01-17 04:00:00+02:00,0.0,1194.0
2020-01-17 05:00:00+02:00,0.0,1182.0
2020-01-17 06:00:00+02:00,0.0,1180.0
2020-01-17 07:00:00+02:00,0.0,1179.0
2020-01-17 08:00:00+02:00,0.0,1158.0
2020-01-17 09:00:00+02:00,1.0,1129.0
2020-01-17 10:00:00+02:00,3.0,1106.0
2020-01-17 11:00:00+02:00,7.0,1078.0
2020-01-17 12:00:00+02:00,7.0,1048.0
2020-01-17 13:00:00+02:00,6.0,1020.0
2020-01-17 14:00:00+02:00,3.0,993.0
2020-01-17 15:00:00+02:00,0.0,955.0
2020-01-17 16:00:00+02:00,0.0,898.0
2020-01-17 17:00:00+02:00,0.0,835.0
2020-01-17 18:00:00+02:00,0.0,771.0
2020-01-17 19:00:00+02:00,0.0,723.0
2020-01-17 20:00:00+02:00,0.0,693.0
2020-01-17 21:00:00+02:00,0.0,678.0
2020-01-17 22:00:00+02:00,0.0,677.0
2020-01-17 23:00:00+02:00,0.0,684.0
2020-01-18 00:00:00+02:00,0.0,705.0
