,Solar,Wind Onshore
2020-01-17 00:00:00+01:00,0.0,8228.0
2020-01-17 01:00:00+01:00,0.0,7877.0
2020-01-17 02:00:00+01:00,0.0,7811.0
2020-01-17 03:00:00+01:00,0.0,7745.0
2020-01-17 04:00:00+01:00,0.0,7677.0
2020-01-17 05:00:00+01:00,0.0,7563.0
2020-01-17 06:00:00+01:00,0.0,7446.0
2020-01-17 07:00:00+01:00,0.0,7329.0
2020-01-17 08:00:00+01:00,0.0,7204.0
2020-01-17 09:00:00+01:00,195.0,7079.0
2020-01-17 10:00:00+01:00,844.0,6954.0
2020-01-17 11:00:00+01:00,1504.0,7256.0
2020-01-17 12:00:00+01:00,1889.0,7556.0
2020-01-17 13:00:00+01:00,2023.0,7857.0
2020-01-17 14:00:00+01:00,1882.0,7596.0
2020-01-17 15:00:00+01:00,1443.0,7337.0
2020-01-17 16:00:00+01:00,673.0,7080.0
2020-01-17 17:00:00+01:00,88.0,7164.0
2020-01-17 18:00:00+01:00,0.0,7249.0
2020-01-17 19:00:00+01:00,0.0,7332.0
2020-01-17 20:00:00+01:00,0.0,7248.0
2020-01-17 21:00:00+01:00,0.0,7164.0
2020-01-17 22:00:00+01:00,0.0,7080.0
2020-01-17 23:00:00+01:00,0.0,6581.0
