,Wind Onshore
2020-01-16 23:00:00+00:00,729.0
2020-01-17 00:00:00+00:00,437.0
2020-01-17 01:00:00+00:00,422.0
2020-01-17 02:00:00+00:00,409.0
2020-01-17 03:00:00+00:00,405.0
2020-01-17 04:00:00+00:00,401.0
2020-01-17 05:00:00+00:00,395.0
2020-01-17 06:00:00+00:00,386.0
2020-01-17 07:00:00+00:00,380.0
2020-01-17 08:00:00+00:00,381.0
2020-01-17 09:00:00+00:00,387.0
2020-01-17 10:00:00+00:00,399.0
2020-01-17 11:00:00+00:00,403.0
2020-01-17 12:00:00+00:00,393.0
2020-01-17 13:00:00+00:00,370.0
2020-01-17 14:00:00+00:00,337.0
2020-01-17 15:00:00+00:00,298.0
2020-01-17 16:00:00+00:00,272.0
2020-01-17 17:00:00+00:00,272.0
2020-01-17 18:00:00+00:00,282.0
2020-01-17 19:00:00+00:00,284.0
2020-01-17 20:00:00+00:00,286.0
2020-01-17 21:00:00+00:00,278.0
2020-01-17 22:00:00+00:00,265.0
2020-01-17 23:00:00+00:00,251.0
