,Solar,Wind Offshore,Wind Onshore
2020-01-16 23:00:00+00:00,0.0,7076.0,4867.0
2020-01-16 23:30:00+00:00,0.0,7076.0,4867.0
2020-01-17 00:00:00+00:00,0.0,7205.0,5452.0
2020-01-17 00:30:00+00:00,0.0,7205.0,5452.0
2020-01-17 01:00:00+00:00,0.0,6908.0,5165.0
2020-01-17 01:30:00+00:00,0.0,6908.0,5165.0
2020-01-17 02:00:00+00:00,0.0,6583.0,4862.0
2020-01-17 02:30:00+00:00,0.0,6583.0,4862.0
2020-01-17 03:00:00+00:00,0.0,6438.0,4458.0
2020-01-17 03:30:00+00:00,0.0,6438.0,4458.0
2020-01-17 04:00:00+00:00,0.0,6103.0,4206.0
2020-01-17 04:30:00+00:00,0.0,6103.0,4206.0
2020-01-17 05:00:00+00:00,0.0,5809.0,3977.0
2020-01-17 05:30:00+00:00,0.0,5809.0,3977.0
2020-01-17 06:00:00+00:00,0.0,5568.0,3724.0
2020-01-17 06:30:00+00:00,0.0,5568.0,3724.0
2020-01-17 07:00:00+00:00,0.0,5495.0,3583.0
2020-01-17 07:30:00+00:00,0.0,5495.0,3583.0
2020-01-17 08:00:00+00:00,108.0,5453.0,3464.0
2020-01-17 08:30:00+00:00,333.0,5453.0,3464.0
2020-01-17 09:00:00+00:00,682.0,5498.0,3410.0
2020-01-17 09:30:00+00:00,1082.0,5498.0,3410.0
2020-01-17 10:00:00+00:00,1452.0,5444.0,3350.0
2020-01-17 10:30:00+00:00,1771.0,5444.0,3350.0
2020-01-17 11:00:00+00:00,2021.0,5380.0,3270.0
2020-01-17 11:30:00+00:00,2158.0,5380.0,3270.0
2020-01-17 12:00:00+00:00,2149.0,5364.0,3335.0
2020-01-17 12:30:00+00:00,2032.0,5364.0,3335.0
2020-01-17 13:00:00+00:00,1851.0,5170.0,3405.0
2020-01-17 13:30:00+00:00,1603.0,5170.0,3405.0
2020-01-17 14:00:00+00:00,1278.0,4584.0,3171.0
2020-01-17 14:30:00+00:00,887.0,4584.0,3171.0
2020-01-17 15:00:00+00:00,466.0,5182.0,3354.0
2020-01-17 15:30:00+00:00,138.0,5182.0,3354.0
2020-01-17 16:00:00+00:00,0.0,5351.0,3407.0
2020-01-17 16:30:00+00:00,0.0,5351.0,3407.0
2020-01-17 17:00:00+00:00,0.0,5448.0,3402.0
2020-01-17 17:30:00+00:00,0.0,5448.0,3402.0
2020-01-17 18:00:00+00:00,0.0,5639.0,3417.0
2020-01-17 18:30:00+00:00,0.0,5639.0,3417.0
2020-01-17 19:00:00+00:00,0.0,5775.0,3386.0
2020-01-17 19:30:00+00:00,0.0,5775.0,3386.0
2020-01-17 20:00:00+00:00,0.0,5697.0,3375.0
2020-01-17 20:30:00+00:00,0.0,5697.0,3375.0
2020-01-17 21:00:00+00:00,0.0,5769.0,3410.0
2020-01-17 21:30:00+00:00,0.0,5769.0,3410.0
2020-01-17 22:00:00+00:00,0.0,5672.0,3460.0
2020-01-17 22:30:00+00:00,0.0,5672.0,3460.0
2020-01-17 23:00:00+00:00,0.0,5573.0,3465.0
