,Solar,Wind Onshore
2020-01-17 00:00:00+01:00,0.0,1.0
2020-01-17 00:15:00+01:00,0.0,1.0
2020-01-17 00:30:00+01:00,0.0,2.0
2020-01-17 00:45:00+01:00,0.0,2.0
2020-01-17 01:00:00+01:00,0.0,2.0
2020-01-17 01:15:00+01:00,0.0,3.0
2020-01-17 01:30:00+01:00,0.0,5.0
2020-01-17 01:45:00+01:00,0.0,7.0
2020-01-17 02:00:00+01:00,0.0,10.0
2020-01-17 02:15:00+01:00,0.0,12.0
2020-01-17 02:30:00+01:00,0.0,14.0
2020-01-17 02:45:00+01:00,0.0,12.0
2020-01-17 03:00:00+01:00,0.0,11.0
2020-01-17 03:15:00+01:00,0.0,10.0
2020-01-17 03:30:00+01:00,0.0,9.0
2020-01-17 03:45:00+01:00,0.0,8.0
2020-01-17 04:00:00+01:00,0.0,7.0
2020-01-17 04:15:00+01:00,0.0,6.0
2020-01-17 04:30:00+01:00,0.0,6.0
2020-01-17 04:45:00+01:00,0.0,6.0
2020-01-17 05:00:00+01:00,0.0,5.0
2020-01-17 05:15:00+01:00,0.0,5.0
2020-01-17 05:30:00+01:00,0.0,5.0
2020-01-17 05:45:00+01:00,0.0,5.0
2020-01-17 06:00:00+01:00,0.0,5.0
2020-01-17 06:15:00+01:00,0.0,5.0
2020-01-17 06:30:00+01:00,0.0,5.0
2020-01-17 06:45:00+01:00,0.0,5.0
2020-01-17 07:00:00+01:00,1.0,6.0
2020-01-17 07:15:00+01:00,3.0,6.0
2020-01-17 07:30:00+01:00,7.0,7.0
2020-01-17 07:45:00+01:00,14.0,9.0
2020-01-17 08:00:00+01:00,25.0,10.0
2020-01-17 08:15:00+01:00,42.0,11.0
2020-01-17 08:30:00+01:00,62.0,12.0
2020-01-17 08:45:00+01:00,82.0,13.0
2020-01-17 09:00:00+01:00,102.0,14.0
2020-01-17 09:15:00+01:00,123.0,16.0
2020-01-17 09:30:00+01:00,144.0,16.0
2020-01-17 09:45:00+01:00,163.0,17.0
2020-01-17 10:00:00+01:00,179.0,19.0
2020-01-17 10:15:00+01:00,194.0,20.0
2020-01-17 10:30:00+01:00,206.0,21.0
2020-01-17 10:45:00+01:00,216.0,22.0
2020-01-17 11:00:00+01:00,224.0,23.0
2020-01-17 11:15:00+01:00,228.0,24.0
2020-01-17 11:30:00+01:00,230.0,26.0
2020-01-17 11:45:00+01:00,230.0,27.0
2020-01-17 12:00:00+01:00,229.0,28.0
2020-01-17 12:15:00+01:00,227.0,30.0
2020-01-17 12:30:00+01:00,223.0,30.0
2020-01-17 12:45:00+01:00,217.0,33.0
2020-01-17 13:00:00+01:00,208.0,35.0
2020-01-17 13:15:00+01:00,197.0,37.0
2020-01-17 13:30:00+01:00,183.0,38.0
2020-01-17 13:45:00+01:00,167.0,40.0
2020-01-17 14:00:00+01:00,149.0,42.0
2020-01-17 14:15:00+01:00,127.0,44.0
2020-01-17 14:30:00+01:00,105.0,46.0
2020-01-17 14:45:00+01:00,83.0,49.0
2020-01-17 15:00:00+01:00,63.0,54.0
2020-01-17 15:15:00+01:00,44.0,57.0
2020-01-17 15:30:00+01:00,26.0,60.0
2020-01-17 15:45:00+01:00,12.0,63.0
2020-01-17 16:00:00+01:00,3.0,57.0
2020-01-17 16:15:00+01:00,0.0,57.0
2020-01-17 16:30:00+01:00,0.0,63.0
2020-01-17 16:45:00+01:00,0.0,65.0
2020-01-17 17:00:00+01:00,0.0,62.0
2020-01-17 17:15:00+01:00,0.0,59.0
2020-01-17 17:30:00+01:00,0.0,57.0
2020-01-17 17:45:00+01:00,0.0,57.0
2020-01-17 18:00:00+01:00,0.0,59.0
2020-01-17 18:15:00+01:00,0.0,60.0
2020-01-17 18:30:00+01:00,0.0,64.0
2020-01-17 18:45:00+01:00,0.0,66.0
2020-01-17 19:00:00+01:00,0.0,68.0
2020-01-17 19:15:00+01:00,0.0,69.0
2020-01-17 19:30:00+01:00,0.0,67.0
2020-01-17 19:45:00+01:00,0.0,66.0
2020-01-17 20:00:00+01:00,0.0,65.0
2020-01-17 20:15:00+01:00,0.0,65.0
2020-01-17 20:30:00+01:00,0.0,64.0
2020-01-17 20:45:00+01:00,0.0,64.0
2020-01-17 21:00:00+01:00,0.0,63.0
2020-01-17 21:15:00+01:00,0.0,63.0
2020-01-17 21:30:00+01:00,0.0,64.0
2020-01-17 21:45:00+01:00,0.0,64.0
2020-01-17 22:00:00+01:00,0.0,64.0
2020-01-17 22:15:00+01:00,0.0,64.0
2020-01-17 22:30:00+01:00,0.0,64.0
2020-01-17 22:45:00+01:00,0.0,64.0
2020-01-17 23:00:00+01:00,0.0,63.0
2020-01-17 23:15:00+01:00,0.0,63.0
2020-01-17 23:30:00+01:00,0.0,61.0
2020-01-17 23:45:00+01:00,0.0,59.0
