,Wind Onshore
2020-01-16 23:00:00+00:00,2695.0
2020-01-17 00:00:00+00:00,1597.0
2020-01-17 01:00:00+00:00,1607.0
2020-01-17 02:00:00+00:00,1586.0
2020-01-17 03:00:00+00:00,1521.0
2020-01-17 04:00:00+00:00,1435.0
2020-01-17 05:00:00+00:00,1361.0
2020-01-17 06:00:00+00:00,1303.0
2020-01-17 07:00:00+00:00,1264.0
2020-01-17 08:00:00+00:00,1228.0
2020-01-17 09:00:00+00:00,1206.0
2020-01-17 10:00:00+00:00,1206.0
2020-01-17 11:00:00+00:00,1241.0
2020-01-17 12:00:00+00:00,1289.0
2020-01-17 13:00:00+00:00,1308.0
2020-01-17 14:00:00+00:00,1320.0
2020-01-17 15:00:00+00:00,1360.0
2020-01-17 16:00:00+00:00,1373.0
2020-01-17 17:00:00+00:00,1327.0
2020-01-17 18:00:00+00:00,1248.0
2020-01-17 19:00:00+00:00,1135.0
2020-01-17 20:00:00+00:00,1011.0
2020-01-17 21:00:00+00:00,891.0
2020-01-17 22:00:00+00:00,760.0
2020-01-17 23:00:00+00:00,639.0
