,Solar,Wind Onshore
2020-01-17 01:00:00+02:00,0.0,167.0
2020-01-17 02:00:00+02:00,0.0,139.0
2020-01-17 03:00:00+02:00,0.0,125.0
2020-01-17 04:00:00+02:00,0.0,112.0
2020-01-17 05:00:00+02:00,0.0,102.0
2020-01-17 06:00:00+02:00,0.0,104.0
2020-01-17 07:00:00+02:00,0.0,111.0
2020-01-17 08:00:00+02:00,0.0,123.0
2020-01-17 09:00:00+02:00,4.0,132.0
2020-01-17 10:00:00+02:00,10.0,143.0
2020-01-17 11:00:00+02:00,14.0,143.0
2020-01-17 12:00:00+02:00,16.0,132.0
2020-01-17 13:00:00+02:00,15.0,128.0
2020-01-17 14:00:00+02:00,12.0,141.0
2020-01-17 15:00:00+02:00,6.0,171.0
2020-01-17 16:00:00+02:00,0.0,204.0
2020-01-17 17:00:00+02:00,0.0,237.0
2020-01-17 18:00:00+02:00,0.0,260.0
2020-01-17 19:00:00+02:00,0.0,284.0
2020-01-17 20:00:00+02:00,0.0,303.0
2020-01-17 21:00:00+02:00,0.0,317.0
2020-01-17 22:00:00+02:00,0.0,329.0
2020-01-17 23:00:00+02:00,0.0,327.0
2020-01-18 00:00:00+02:00,0.0,316.0
2020-01-18 01:00:00+02:00,0.0,306.0
