,Wind Onshore
2020-01-17 01:00:00+02:00,24.0
2020-01-17 02:00:00+02:00,20.0
2020-01-17 03:00:00+02:00,14.0
2020-01-17 04:00:00+02:00,14.0
2020-01-17 05:00:00+02:00,12.0
2020-01-17 06:00:00+02:00,11.0
2020-01-17 07:00:00+02:00,12.0
2020-01-17 08:00:00+02:00,16.0
2020-01-17 09:00:00+02:00,15.0
2020-01-17 10:00:00+02:00,20.0
2020-01-17 11:00:00+02:00,18.0
2020-01-17 12:00:00+02:00,20.0
2020-01-17 13:00:00+02:00,22.0
2020-01-17 14:00:00+02:00,20.0
2020-01-17 15:00:00+02:00,19.0
2020-01-17 16:00:00+02:00,19.0
2020-01-17 17:00:00+02:00,22.0
2020-01-17 18:00:00+02:00,26.0
2020-01-17 19:00:00+02:00,26.0
2020-01-17 20:00:00+02:00,26.0
2020-01-17 21:00:00+02:00,26.0
2020-01-17 22:00:00+02:00,25.0
2020-01-17 23:00:00+02:00,26.0
