,Solar,Wind Offshore,Wind Onshore
2020-01-17 00:00:00+01:00,0.0,782.0,1943.0
2020-01-17 00:15:00+01:00,0.0,782.0,1933.0
2020-01-17 00:30:00+01:00,0.0,781.0,1927.0
2020-01-17 00:45:00+01:00,0.0,781.0,1919.0
2020-01-17 01:00:00+01:00,0.0,780.0,1912.0
2020-01-17 01:15:00+01:00,0.0,779.0,1903.0
2020-01-17 01:30:00+01:00,0.0,778.0,1889.0
2020-01-17 01:45:00+01:00,0.0,776.0,1877.0
2020-01-17 02:00:00+01:00,0.0,775.0,1866.0
2020-01-17 02:15:00+01:00,0.0,772.0,1856.0
2020-01-17 02:30:00+01:00,0.0,769.0,1849.0
2020-01-17 02:45:00+01:00,0.0,766.0,1843.0
2020-01-17 03:00:00+01:00,0.0,763.0,1835.0
2020-01-17 03:15:00+01:00,0.0,762.0,1826.0
2020-01-17 03:30:00+01:00,0.0,761.0,1812.0
2020-01-17 03:45:00+01:00,0.0,761.0,1799.0
2020-01-17 04:00:00+01:00,0.0,761.0,1785.0
2020-01-17 04:15:00+01:00,0.0,760.0,1777.0
2020-01-17 04:30:00+01:00,0.0,757.0,1767.0
2020-01-17 04:45:00+01:00,0.0,755.0,1760.0
2020-01-17 05:00:00+01:00,0.0,752.0,1749.0
2020-01-17 05:15:00+01:00,0.0,752.0,1741.0
2020-01-17 05:30:00+01:00,0.0,752.0,1730.0
2020-01-17 05:45:00+01:00,0.0,753.0,1717.0
2020-01-17 06:00:00+01:00,0.0,753.0,1708.0
2020-01-17 06:15:00+01:00,0.0,753.0,1693.0
2020-01-17 06:30:00+01:00,0.0,750.0,1681.0
2020-01-17 06:45:00+01:00,0.0,748.0,1669.0
2020-01-17 07:00:00+01:00,0.0,745.0,1655.0
2020-01-17 07:15:00+01:00,0.0,742.0,1637.0
2020-01-17 07:30:00+01:00,2.0,739.0,1613.0
2020-01-17 07:45:00+01:00,4.0,735.0,1587.0
2020-01-17 08:00:00+01:00,6.0,731.0,1562.0
2020-01-17 08:15:00+01:00,26.0,725.0,1536.0
2020-01-17 08:30:00+01:00,51.0,716.0,1504.0
2020-01-17 08:45:00+01:00,72.0,707.0,1476.0
2020-01-17 09:00:00+01:00,94.0,697.0,1444.0
2020-01-17 09:15:00+01:00,101.0,684.0,1404.0
2020-01-17 09:30:00+01:00,106.0,667.0,1355.0
2020-01-17 09:45:00+01:00,113.0,650.0,1306.0
2020-01-17 10:00:00+01:00,120.0,633.0,1256.0
2020-01-17 10:15:00+01:00,118.0,616.0,1210.0
2020-01-17 10:30:00+01:00,115.0,600.0,1166.0
2020-01-17 10:45:00+01:00,113.0,584.0,1122.0
2020-01-17 11:00:00+01:00,111.0,569.0,1078.0
2020-01-17 11:15:00+01:00,107.0,551.0,1031.0
2020-01-17 11:30:00+01:00,105.0,531.0,986.0
2020-01-17 11:45:00+01:00,103.0,511.0,940.0
2020-01-17 12:00:00+01:00,100.0,491.0,894.0
2020-01-17 12:15:00+01:00,99.0,479.0,857.0
2020-01-17 12:30:00+01:00,99.0,475.0,829.0
2020-01-17 12:45:00+01:00,97.0,472.0,799.0
2020-01-17 13:00:00+01:00,93.0,468.0,770.0
2020-01-17 13:15:00+01:00,90.0,466.0,745.0
2020-01-17 13:30:00+01:00,86.0,465.0,725.0
2020-01-17 13:45:00+01:00,80.0,464.0,706.0
2020-01-17 14:00:00+01:00,75.0,464.0,686.0
2020-01-17 14:15:00+01:00,69.0,463.0,671.0
2020-01-17 14:30:00+01:00,64.0,464.0,665.0
2020-01-17 14:45:00+01:00,57.0,464.0,657.0
2020-01-17 15:00:00+01:00,51.0,465.0,649.0
2020-01-17 15:15:00+01:00,46.0,474.0,649.0
2020-01-17 15:30:00+01:00,37.0,492.0,654.0
2020-01-17 15:45:00+01:00,29.0,510.0,663.0
2020-01-17 16:00:00+01:00,23.0,527.0,670.0
2020-01-17 16:15:00+01:00,16.0,540.0,677.0
2020-01-17 16:30:00+01:00,12.0,546.0,682.0
2020-01-17 16:45:00+01:00,3.0,552.0,689.0
2020-01-17 17:00:00+01:00,0.0,559.0,694.0
2020-01-17 17:15:00+01:00,0.0,557.0,706.0
2020-01-17 17:30:00+01:00,0.0,547.0,725.0
2020-01-17 17:45:00+01:00,0.0,537.0,742.0
2020-01-17 18:00:00+01:00,0.0,527.0,757.0
2020-01-17 18:15:00+01:00,0.0,518.0,780.0
2020-01-17 18:30:00+01:00,0.0,510.0,807.0
2020-01-17 18:45:00+01:00,0.0,503.0,837.0
2020-01-17 19:00:00+01:00,0.0,495.0,866.0
2020-01-17 19:15:00+01:00,0.0,490.0,883.0
2020-01-17 19:30:00+01:00,0.0,488.0,890.0
2020-01-17 19:45:00+01:00,0.0,486.0,895.0
2020-01-17 20:00:00+01:00,0.0,483.0,900.0
2020-01-17 20:15:00+01:00,0.0,481.0,903.0
2020-01-17 20:30:00+01:00,0.0,479.0,901.0
2020-01-17 20:45:00+01:00,0.0,477.0,899.0
2020-01-17 21:00:00+01:00,0.0,475.0,895.0
2020-01-17 21:15:00+01:00,0.0,478.0,899.0
2020-01-17 21:30:00+01:00,0.0,486.0,906.0
2020-01-17 21:45:00+01:00,0.0,495.0,910.0
2020-01-17 22:00:00+01:00,0.0,503.0,917.0
2020-01-17 22:15:00+01:00,0.0,513.0,928.0
2020-01-17 22:30:00+01:00,0.0,526.0,940.0
2020-01-17 22:45:00+01:00,0.0,539.0,952.0
2020-01-17 23:00:00+01:00,0.0,552.0,963.0
2020-01-17 23:15:00+01:00,0.0,568.0,973.0
2020-01-17 23:30:00+01:00,0.0,588.0,984.0
2020-01-17 23:45:00+01:00,0.0,607.0,996.0
