,Solar,Wind Offshore,Wind Onshore
2020-01-17 00:00:00+01:00,0.0,0.0,1167.0
2020-01-17 01:00:00+01:00,0.0,0.0,1115.0
2020-01-17 02:00:00+01:00,0.0,0.0,1133.0
2020-01-17 03:00:00+01:00,0.0,0.0,1165.0
2020-01-17 04:00:00+01:00,0.0,0.0,1177.0
2020-01-17 05:00:00+01:00,0.0,0.0,1265.0
2020-01-17 06:00:00+01:00,0.0,0.0,1332.0
2020-01-17 07:00:00+01:00,0.0,0.0,1299.0
2020-01-17 08:00:00+01:00,0.0,0.0,1209.0
2020-01-17 09:00:00+01:00,0.0,0.0,1114.0
2020-01-17 10:00:00+01:00,0.0,0.0,994.0
2020-01-17 11:00:00+01:00,0.0,0.0,859.0
2020-01-17 12:00:00+01:00,0.0,0.0,739.0
2020-01-17 13:00:00+01:00,0.0,0.0,655.0
2020-01-17 14:00:00+01:00,0.0,0.0,608.0
2020-01-17 15:00:00+01:00,0.0,0.0,588.0
2020-01-17 16:00:00+01:00,0.0,0.0,578.0
2020-01-17 17:00:00+01:00,0.0,0.0,590.0
2020-01-17 18:00:00+01:00,0.0,0.0,629.0
2020-01-17 19:00:00+01:00,0.0,0.0,670.0
2020-01-17 20:00:00+01:00,0.0,0.0,691.0
2020-01-17 21:00:00+01:00,0.0,0.0,692.0
2020-01-17 22:00:00+01:00,0.0,0.0,694.0
2020-01-17 23:00:00+01:00,0.0,0.0,655.0
