,Wind Onshore
2020-01-17 00:00:00+01:00,1287.0
2020-01-17 01:00:00+01:00,1418.0
2020-01-17 02:00:00+01:00,1565.0
2020-01-17 03:00:00+01:00,1696.0
2020-01-17 04:00:00+01:00,1810.0
2020-01-17 05:00:00+01:00,1906.0
2020-01-17 06:00:00+01:00,1982.0
2020-01-17 07:00:00+01:00,2023.0
2020-01-17 08:00:00+01:00,2034.0
2020-01-17 09:00:00+01:00,1993.0
2020-01-17 10:00:00+01:00,1842.0
2020-01-17 11:00:00+01:00,1643.0
2020-01-17 12:00:00+01:00,1541.0
2020-01-17 13:00:00+01:00,1733.0
2020-01-17 14:00:00+01:00,2104.0
2020-01-17 15:00:00+01:00,2527.0
2020-01-17 16:00:00+01:00,2869.0
2020-01-17 17:00:00+01:00,3099.0
2020-01-17 18:00:00+01:00,3238.0
2020-01-17 19:00:00+01:00,3199.0
2020-01-17 20:00:00+01:00,3068.0
2020-01-17 21:00:00+01:00,2914.0
2020-01-17 22:00:00+01:00,2768.0
2020-01-17 23:00:00+01:00,2636.0
