,Solar,Wind Onshore
2020-01-16 23:00:00+00:00,101.0,2327.0
2020-01-17 00:00:00+00:00,0.0,2391.0
2020-01-17 01:00:00+00:00,1.0,2417.0
2020-01-17 02:00:00+00:00,6.0,2377.0
2020-01-17 03:00:00+00:00,11.0,2305.0
2020-01-17 04:00:00+00:00,16.0,2141.0
2020-01-17 05:00:00+00:00,21.0,1913.0
2020-01-17 06:00:00+00:00,26.0,1587.0
2020-01-17 07:00:00+00:00,31.0,1189.0
2020-01-17 08:00:00+00:00,36.0,827.0
2020-01-17 09:00:00+00:00,41.0,517.0
2020-01-17 10:00:00+00:00,46.0,400.0
2020-01-17 11:00:00+00:00,51.0,307.0
2020-01-17 12:00:00+00:00,56.0,227.0
2020-01-17 13:00:00+00:00,61.0,175.0
2020-01-17 14:00:00+00:00,66.0,131.0
2020-01-17 15:00:00+00:00,71.0,104.0
2020-01-17 16:00:00+00:00,76.0,109.0
2020-01-17 17:00:00+00:00,81.0,174.0
2020-01-17 18:00:00+00:00,86.0,302.0
2020-01-17 19:00:00+00:00,91.0,466.0
2020-01-17 20:00:00+00:00,96.0,707.0
2020-01-17 21:00:00+00:00,100.0,974.0
2020-01-17 22:00:00+00:00,105.0,1219.0
