,Solar,Wind Onshore
2020-01-17 01:00:00+02:00,0.0,258.0
2020-01-17 02:00:00+02:00,0.0,279.0
2020-01-17 03:00:00+02:00,0.0,289.0
2020-01-17 04:00:00+02:00,0.0,300.0
2020-01-17 05:00:00+02:00,0.0,302.0
2020-01-17 06:00:00+02:00,0.0,309.0
2020-01-17 07:00:00+02:00,0.0,343.0
2020-01-17 08:00:00+02:00,19.0,347.0
2020-01-17 09:00:00+02:00,93.0,350.0
2020-01-17 10:00:00+02:00,190.0,348.0
2020-01-17 11:00:00+02:00,273.0,342.0
2020-01-17 12:00:00+02:00,312.0,350.0
2020-01-17 13:00:00+02:00,311.0,353.0
2020-01-17 14:00:00+02:00,242.0,366.0
2020-01-17 15:00:00+02:00,123.0,391.0
2020-01-17 16:00:00+02:00,25.0,424.0
2020-01-17 17:00:00+02:00,0.0,443.0
2020-01-17 18:00:00+02:00,0.0,436.0
2020-01-17 19:00:00+02:00,0.0,412.0
2020-01-17 20:00:00+02:00,0.0,398.0
2020-01-17 21:00:00+02:00,0.0,369.0
2020-01-17 22:00:00+02:00,0.0,336.0
2020-01-17 23:00:00+02:00,0.0,343.0
